Size,Time_ms
2351799,744.981
6321803,2212.325
573244,185.405
3046712,1018.842
8733116,2983.285
6616571,2330.400
5363435,1825.270
729150,224.762
322361,92.966
7207065,2488.240
6717288,2347.811
3058339,998.617
4525107,1463.680
3197448,1067.759
4634240,1509.981
1182617,362.520
6955766,2351.980
6593403,2240.578
4696993,1544.323
6604313,2257.931
9494585,3351.642
8248627,2818.080
8890201,3058.566
5424110,1802.481
2150464,669.086
2217355,717.508
3862963,1261.957
4761532,1615.402
5925311,2010.188
7862117,2721.945
8415160,3047.376
5378258,1848.077
6548361,2273.115
5781117,1983.789
7481217,2493.599
2262533,736.804
4543029,1488.340
9997837,3497.923
2520474,807.293
2914618,966.000
6444392,2234.850
7058386,2362.197
9499458,3291.612
6382548,2172.767
9003821,3044.602
7514442,2529.777
8040733,2704.250
2162312,860.813
1380420,557.311
1695123,585.194
7978582,3132.050
894905,338.361
8803823,3797.480
7300672,2930.223
5494690,1930.619
4017052,1509.146
6809448,2382.357
1005569,301.337
2080983,674.649
1152623,368.044
1202258,373.342
5351141,1825.554
6742552,2321.732
3398109,1101.525
2471290,826.301
7108079,2422.074
9531431,3288.367
6891549,2389.267
2218292,710.753
7983840,2776.171
6765404,2432.203
3120776,1075.748
921216,292.169
2609828,839.289
5690353,1941.241
5864841,2043.504
2701431,878.164
9804216,3385.650
2847534,924.824
989250,306.356
9015534,3076.146
683700,211.433
6456106,2250.319
7290191,2484.496
624948,190.026
7234223,2482.520
3888056,1297.791
7340590,2441.614
5274029,1800.689
8128483,2916.751
2707614,902.921
1729949,554.392
509194,151.288
109407,30.180
9780961,3458.283
901907,301.827
8097768,2719.068
5872258,2052.243
3250935,1066.010
5575986,1885.459
5924012,2014.133
5745610,1969.338
5833182,2015.054
5706010,1972.598
7117575,2427.963
6749601,2274.309
1334111,418.821
4829166,1617.554
7164677,2523.359
3776135,1217.854
3970987,1294.169
1884086,623.576
1175631,402.757
9772824,4016.792
251142,138.624
7116762,2577.599
1948238,673.569
6559825,2579.510
4737323,1851.079
9254626,3199.768
3794255,1413.214
5080629,1716.688
3392118,1104.905
2480312,825.980
1481397,467.330
8054355,2762.893
4879664,1620.563
9100512,3171.259
5978046,2070.515
1969307,649.052
7485591,2861.486
5170511,1977.094
8807454,3461.087
9375506,3304.057
1126192,349.689
2764495,929.818
1534401,519.887
8139255,2809.258
2542,0.604
4905804,1852.868
8864464,3084.047
39935,10.868
3625658,1452.582
3557065,1175.817
748568,243.476
8722614,3015.709
4424169,1435.293
9730153,3734.630
8591159,3314.180
6520930,2406.193
7736001,3011.771
2829168,923.983
4789808,1565.081
6850736,2390.589
2925147,968.455
2101978,656.810
4954639,1671.686
1457310,480.824
7058467,2440.354
5263798,2104.268
1767327,583.566
9193734,3105.376
4562401,1521.927
6167738,2131.802
2017045,636.308
1727612,551.289
6269733,2125.515
333246,98.810
2368169,756.189
5047771,1672.142
7281545,2475.330
1318436,442.499
7934037,2849.180
8644755,2965.014
5948796,2023.985
5094801,1722.463
56057,17.940
5651626,1939.295
6917085,2368.288
5957824,2130.092
6961871,2330.793
2580570,868.193
4869073,1870.449
1877141,609.702
6231691,2131.189
5720879,1951.019
273702,77.941
1860051,606.595
3750100,1220.932
9346820,3296.146
7893296,2812.610
4630473,1564.734
134411,38.182
678450,221.985
2650396,849.447
1812677,573.796
3141097,1082.693
7962807,2803.135
2884884,967.655
5363176,1808.563
